epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2189,3.1499,6.88969,1.97568,0,0,0,0,3.67731,8.97939,2.51647,9.52e-06,9.52e-06,9.52e-06
2,110.956,2.75825,6.38435,1.77788,0,0,0,0,3.48098,8.18234,2.3547,2.33288e-05,2.33288e-05,2.33288e-05
3,159.985,2.65643,5.69893,1.77265,0.00058,0.04167,0.0007,7e-05,3.14727,7.26025,2.10252,3.6572e-05,3.6572e-05,3.6572e-05
4,212.228,2.58612,5.03887,1.77284,0,0,0,0,2.72616,6.66858,1.98309,4.92498e-05,4.92498e-05,4.92498e-05
5,262.324,2.18111,4.43675,1.48914,0.25337,0.0875,0.00394,0.00104,2.53238,7.51227,1.82963,6.13621e-05,6.13621e-05,6.13621e-05
6,310.169,2.25028,4.24123,1.40696,0.50995,0.03125,0.00829,0.00216,2.44872,8.81825,1.83982,7.29089e-05,7.29089e-05,7.29089e-05
7,357.561,2.14164,4.1664,1.57794,0.67235,0.03125,0.02565,0.00723,2.35395,8.72745,1.76148,8.38902e-05,8.38902e-05,8.38902e-05
8,404.709,1.98813,3.78368,1.41465,0.39435,0.07553,0.01955,0.00441,2.31796,7.99302,1.73222,9.43061e-05,9.43061e-05,9.43061e-05
9,452.636,2.02789,3.65214,1.43327,0.69602,0.05625,0.0373,0.00827,2.30497,6.75907,1.7379,0.000104156,0.000104156,0.000104156
10,499.97,1.9364,3.63744,1.44324,0.83813,0.05601,0.05073,0.01396,2.25122,6.13095,1.7008,0.000113441,0.000113441,0.000113441
11,547.78,1.8946,3.63072,1.32209,0.91486,0.0625,0.04499,0.01437,2.3306,5.97931,1.76542,0.000122161,0.000122161,0.000122161
12,595.983,1.81539,3.34809,1.32745,0.91474,0.0625,0.0552,0.01627,2.39001,6.24498,1.81781,0.000130315,0.000130315,0.000130315
13,644.3,1.67885,3.35906,1.27794,0.98306,0.03125,0.07712,0.03081,2.17213,5.39944,1.7367,0.000137903,0.000137903,0.000137903
14,691.382,1.61411,3.28955,1.23558,0.53205,0.0875,0.06857,0.04136,1.98649,4.86489,1.6208,0.000144926,0.000144926,0.000144926
15,738.576,1.32998,2.92261,1.15551,0.80692,0.08125,0.19389,0.12886,1.86035,4.01488,1.54517,0.000151383,0.000151383,0.000151383
16,786.258,1.48463,2.6103,1.2557,0.46478,0.22836,0.19985,0.14138,1.78388,4.15954,1.53355,0.000157275,0.000157275,0.000157275
17,2601.74,1.49706,2.95138,1.23323,0.64962,0.3,0.20751,0.13646,1.68299,4.11086,1.45663,0.000162602,0.000162602,0.000162602
18,2649.03,1.48764,2.75379,1.18084,0.78682,0.275,0.20431,0.13604,1.64497,4.03109,1.43786,0.000167363,0.000167363,0.000167363
19,2695.6,1.30649,2.96854,1.2163,0.63425,0.25942,0.24054,0.15344,1.71964,3.81729,1.47525,0.000171558,0.000171558,0.000171558
20,3080.85,1.45623,2.49521,1.16672,0.76179,0.18125,0.21996,0.15202,1.64433,3.65565,1.46424,0.000175188,0.000175188,0.000175188
21,3129.71,1.3204,2.70485,1.19752,0.57746,0.18125,0.23007,0.15393,1.6308,3.77529,1.46479,0.000178252,0.000178252,0.000178252
